when,href,area,price,long,lat
Prodáno 18. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.06540145735952%2C14.304108054565386%5D%2C%22unit%22%3A%2222109617-1140-5%22%2C%22text%22%3A%22Makovsk%C3%A9ho%201140%2F13%2C%20Praha%22%7D,"Byt 3+kk, 83 m2","9 200 000 Kč
110 444 Kč/m2",14.3041080545653,50.06540145735952
Prodáno 15. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.07375813589689%2C14.409404141181916%5D%2C%22unit%22%3A%2221911983-84-16%22%2C%22text%22%3A%22Jan%C3%A1%C4%8Dkovo%20n%C3%A1b%C5%99e%C5%BE%C3%AD%2084%2F9%2C%20Praha%22%7D,"Byt 2+1, 86 m2","15 200 000 Kč
175 926 Kč/m2",14.4094041411819,50.07375813589689
Prodáno 12. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.04735231678512%2C14.519515539142017%5D%2C%22unit%22%3A%2222378227-1046-14%22%2C%22text%22%3A%22Vajdova%201044%2F19%2C%20Praha%22%7D,"Byt 1+kk, 29 m2","3 650 000 Kč
125 430 Kč/m2",14.519515539142,50.04735231678512
Prodáno 12. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.16336019455789%2C14.37181955426518%5D%2C%22unit%22%3A%2225919431-1800-11%22%2C%22text%22%3A%22Na%20Panensk%C3%A9%201800%2C%20Roztoky%22%7D,"Byt 2+kk, 48 m2","5 765 000 Kč
120 607 Kč/m2",14.3718195542651,50.16336019455789
Prodáno 12. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.00954914717595%2C14.453184873661815%5D%2C%22unit%22%3A%2221547203-604-33%22%2C%22text%22%3A%22Pavl%C3%ADkova%20604%2F10%2C%20Praha%22%7D,"Byt 3+1, 73 m2","6 350 000 Kč
86 986 Kč/m2",14.4531848736618,50.00954914717595
Prodáno 8. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.13116344824779%2C14.428166672552736%5D%2C%22unit%22%3A%2222162828-326-2%22%2C%22text%22%3A%22Toru%C5%88sk%C3%A1%20323%2F9%2C%20Praha%22%7D,"Byt 1+kk, 30 m2","3 850 000 Kč
128 333 Kč/m2",14.4281666725527,50.13116344824779
Prodáno 8. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.04539548604031%2C14.49481368819216%5D%2C%22unit%22%3A%2221740259-3040-35%22%2C%22text%22%3A%22Choceradsk%C3%A1%203040%2F24%2C%20Praha%22%7D,"Byt 3+1, 65 m2","6 950 000 Kč
106 923 Kč/m2",14.4948136881921,50.04539548604031
Prodáno 8. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.779536942837794%2C13.981504969033065%5D%2C%22unit%22%3A%2222514911-348-2%22%2C%22text%22%3A%22Zborovsk%C3%A1%20347%2C%20Jince%22%7D,"Byt 2+1, 43 m2","2 400 000 Kč
56 471 Kč/m2",13.981504969033,49.779536942837794
Prodáno 7. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.036462528571256%2C14.373517648920618%5D%2C%22unit%22%3A%2221905789-859-16%22%2C%22text%22%3A%22Lama%C4%8Dova%20859%2F32%2C%20Praha%22%7D,"Byt 1+1, 32 m2","4 402 000 Kč
138 428 Kč/m2",14.37351764892,50.036462528571256
Prodáno 7. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.08834517565111%2C14.306468962796506%5D%2C%22unit%22%3A%2222014845-846-117%22%2C%22text%22%3A%22Vlastina%20846%2F40%2C%20Praha%22%7D,"Byt 2+kk, 42 m2","5 400 000 Kč
128 571 Kč/m2",14.3064689627965,50.08834517565111
